Total Fees by Contract,,,,,,,,,
"Executive Retirement Plans, LLC TPA(508420) ",,,,,,,,,
10/1/2023 - 9/30/2025,,,,,,,,,
,,,,,,,,,
Contract ID,Sub ID,Company Name,Fee Type,Total,,,,,
932293,00027,"PCL Insurance Agency, Inc.  dba PCL Contract Bonding Agency",Transaction Fees,0.00,,,,,
932293,00027,"PCL Insurance Agency, Inc.  dba PCL Contract Bonding Agency",Service Fee Income,122.60,,,,,
932293,00027,"PCL Insurance Agency, Inc.  dba PCL Contract Bonding Agency",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,122.60,,,,,
,,,,,,,,,
932293,00028,"Sedalco, Inc.",Transaction Fees,"2,725.00",,,,,
932293,00028,"Sedalco, Inc.",Service Fee Income,"2,792.81",,,,,
932293,00028,"Sedalco, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"5,517.81",,,,,
,,,,,,,,,
932293,00029,"RONE ENGINEERING SERVICES, LTD",Transaction Fees,"3,064.96",,,,,
932293,00029,"RONE ENGINEERING SERVICES, LTD",Service Fee Income,0.00,,,,,
932293,00029,"RONE ENGINEERING SERVICES, LTD",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"3,064.96",,,,,
,,,,,,,,,
932293,00030,"Prism Electric, Inc.",Transaction Fees,"3,300.00",,,,,
932293,00030,"Prism Electric, Inc.",Service Fee Income,0.00,,,,,
932293,00030,"Prism Electric, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"3,300.00",,,,,
,,,,,,,,,
932293,00031,"ROTI, INC.",Transaction Fees,"4,146.52",,,,,
932293,00031,"ROTI, INC.",Service Fee Income,418.05,,,,,
932293,00031,"ROTI, INC.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"4,564.57",,,,,
,,,,,,,,,
932293,00033,"Polk Mechanical Company, LLC",Transaction Fees,"13,800.00",,,,,
932293,00033,"Polk Mechanical Company, LLC",Service Fee Income,0.00,,,,,
932293,00033,"Polk Mechanical Company, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"13,800.00",,,,,
,,,,,,,,,
932293,00035,"Momentum Mechanical, Inc.",Transaction Fees,"2,116.94",,,,,
932293,00035,"Momentum Mechanical, Inc.",Service Fee Income,270.56,,,,,
932293,00035,"Momentum Mechanical, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"2,387.50",,,,,
,,,,,,,,,
932293,00037,"Mogul Insurance Agency, LLC",Transaction Fees,450.00,,,,,
932293,00037,"Mogul Insurance Agency, LLC",Service Fee Income,48.89,,,,,
932293,00037,"Mogul Insurance Agency, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,498.89,,,,,
,,,,,,,,,
932293,00038,"TEXO ABC-AGC, Inc.",Transaction Fees,"1,250.00",,,,,
932293,00038,"TEXO ABC-AGC, Inc.",Service Fee Income,604.75,,,,,
932293,00038,"TEXO ABC-AGC, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"1,854.75",,,,,
,,,,,,,,,
932293,00039,Burleson Electric Inc.,Transaction Fees,0.00,,,,,
932293,00039,Burleson Electric Inc.,Service Fee Income,36.77,,,,,
932293,00039,Burleson Electric Inc.,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,36.77,,,,,
,,,,,,,,,
932293,00040,"Talley-Riggins Construction Group, LLC",Transaction Fees,"2,488.12",,,,,
932293,00040,"Talley-Riggins Construction Group, LLC",Service Fee Income,772.27,,,,,
932293,00040,"Talley-Riggins Construction Group, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"3,260.39",,,,,
,,,,,,,,,
932293,00041,"Rudick Construction Group, Inc.",Transaction Fees,"2,175.00",,,,,
932293,00041,"Rudick Construction Group, Inc.",Service Fee Income,372.43,,,,,
932293,00041,"Rudick Construction Group, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"2,547.43",,,,,
,,,,,,,,,
932293,00042,AnchorBuilt Inc.,Transaction Fees,500.00,,,,,
932293,00042,AnchorBuilt Inc.,Service Fee Income,71.36,,,,,
932293,00042,AnchorBuilt Inc.,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,571.36,,,,,
,,,,,,,,,
932293,00044,"Prism Electric, Inc.",Transaction Fees,"22,599.32",,,,,
932293,00044,"Prism Electric, Inc.",Service Fee Income,"5,331.14",,,,,
932293,00044,"Prism Electric, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"27,930.46",,,,,
,,,,,,,,,
932293,00045,"Bosworth Steel Erectors, LLC",Transaction Fees,650.00,,,,,
932293,00045,"Bosworth Steel Erectors, LLC",Service Fee Income,333.98,,,,,
932293,00045,"Bosworth Steel Erectors, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,983.98,,,,,
,,,,,,,,,
932293,00046,"Associated Builders and Contractors, Inc.- Greater Houston Chapter",Transaction Fees,"1,441.96",,,,,
932293,00046,"Associated Builders and Contractors, Inc.- Greater Houston Chapter",Service Fee Income,323.14,,,,,
932293,00046,"Associated Builders and Contractors, Inc.- Greater Houston Chapter",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"1,765.10",,,,,
,,,,,,,,,
932293,00047,"TIETSORT, LLC",Transaction Fees,100.00,,,,,
932293,00047,"TIETSORT, LLC",Service Fee Income,0.27,,,,,
932293,00047,"TIETSORT, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,100.27,,,,,
,,,,,,,,,
932293,00049,"Legacy Contractors, LLC",Transaction Fees,275.00,,,,,
932293,00049,"Legacy Contractors, LLC",Service Fee Income,23.17,,,,,
932293,00049,"Legacy Contractors, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,298.17,,,,,
,,,,,,,,,
932293,00050,SMR Construction,Transaction Fees,100.00,,,,,
932293,00050,SMR Construction,Service Fee Income,92.04,,,,,
932293,00050,SMR Construction,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,192.04,,,,,
,,,,,,,,,
932293,00051,"Talent Corporation, LLC",Transaction Fees,"1,501.77",,,,,
932293,00051,"Talent Corporation, LLC",Service Fee Income,135.57,,,,,
932293,00051,"Talent Corporation, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"1,637.34",,,,,
,,,,,,,,,
932293,00055,"GB CONSTRUCTION GROUP, LLC",Transaction Fees,"1,100.00",,,,,
932293,00055,"GB CONSTRUCTION GROUP, LLC",Service Fee Income,18.85,,,,,
932293,00055,"GB CONSTRUCTION GROUP, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"1,118.85",,,,,
,,,,,,,,,
